Filename,Predictions
all_classes\img_100409.jpg,c1
all_classes\img_10041.jpg,c1
all_classes\img_100410.jpg,c2
all_classes\img_100411.jpg,c6
all_classes\img_100413.jpg,c0
all_classes\img_100415.jpg,c3
all_classes\img_100416.jpg,c4
all_classes\img_100417.jpg,c1
all_classes\img_100418.jpg,c1
all_classes\img_10042.jpg,c3
all_classes\img_100420.jpg,c6
all_classes\img_100422.jpg,c4
all_classes\img_100424.jpg,c0
all_classes\img_100425.jpg,c5
all_classes\img_100426.jpg,c6
all_classes\img_100427.jpg,c8
all_classes\img_10043.jpg,c5
all_classes\img_100430.jpg,c2
all_classes\img_100432.jpg,c2
all_classes\img_100433.jpg,c5
all_classes\img_100434.jpg,c1
all_classes\img_100435.jpg,c9
all_classes\img_100436.jpg,c3
all_classes\img_100437.jpg,c4
all_classes\img_100438.jpg,c0
all_classes\img_100439.jpg,c1
all_classes\img_10044.jpg,c6
all_classes\img_100440.jpg,c8
all_classes\img_100441.jpg,c6
all_classes\img_100443.jpg,c0
all_classes\img_100444.jpg,c1
all_classes\img_100445.jpg,c5
all_classes\img_100447.jpg,c5
all_classes\img_100448.jpg,c1
all_classes\img_100449.jpg,c9
all_classes\img_10045.jpg,c0
all_classes\img_100450.jpg,c5
all_classes\img_100453.jpg,c6
all_classes\img_100454.jpg,c0
all_classes\img_100457.jpg,c4
all_classes\img_100459.jpg,c0
all_classes\img_100461.jpg,c8
all_classes\img_100462.jpg,c3
all_classes\img_100463.jpg,c0
all_classes\img_100464.jpg,c5
all_classes\img_100465.jpg,c2
all_classes\img_100466.jpg,c9
all_classes\img_100468.jpg,c6
all_classes\img_10047.jpg,c8
all_classes\img_100470.jpg,c0
all_classes\img_100473.jpg,c8
all_classes\img_100474.jpg,c0
all_classes\img_100475.jpg,c7
all_classes\img_100476.jpg,c1
all_classes\img_100477.jpg,c0
all_classes\img_100478.jpg,c0
all_classes\img_100479.jpg,c9
all_classes\img_100481.jpg,c3
all_classes\img_100482.jpg,c4
all_classes\img_100483.jpg,c0
all_classes\img_100484.jpg,c4
all_classes\img_100485.jpg,c1
all_classes\img_100486.jpg,c7
all_classes\img_100487.jpg,c4
all_classes\img_100488.jpg,c3
all_classes\img_100489.jpg,c7
all_classes\img_10049.jpg,c8
all_classes\img_100490.jpg,c2
all_classes\img_100491.jpg,c8
all_classes\img_100492.jpg,c5
all_classes\img_100494.jpg,c3
all_classes\img_100495.jpg,c5
all_classes\img_100496.jpg,c7
all_classes\img_100497.jpg,c5
all_classes\img_100498.jpg,c8
all_classes\img_100500.jpg,c9
all_classes\img_100501.jpg,c8
all_classes\img_100504.jpg,c9
all_classes\img_100505.jpg,c5
all_classes\img_100506.jpg,c0
all_classes\img_100507.jpg,c6
all_classes\img_100508.jpg,c3
all_classes\img_100509.jpg,c5
all_classes\img_10051.jpg,c0
all_classes\img_100510.jpg,c1
all_classes\img_100511.jpg,c1
all_classes\img_100512.jpg,c1
all_classes\img_100513.jpg,c0
all_classes\img_100516.jpg,c8
all_classes\img_100517.jpg,c4
all_classes\img_100518.jpg,c3
all_classes\img_100519.jpg,c3
all_classes\img_100520.jpg,c2
all_classes\img_100521.jpg,c1
all_classes\img_100522.jpg,c8
all_classes\img_100523.jpg,c3
all_classes\img_100524.jpg,c0
all_classes\img_100525.jpg,c4
all_classes\img_100526.jpg,c0
all_classes\img_100527.jpg,c9
all_classes\img_100531.jpg,c5
all_classes\img_100532.jpg,c1
all_classes\img_100533.jpg,c8
all_classes\img_100534.jpg,c3
all_classes\img_100535.jpg,c8
all_classes\img_100536.jpg,c0
all_classes\img_100537.jpg,c5
all_classes\img_100538.jpg,c8
all_classes\img_100539.jpg,c4
all_classes\img_10054.jpg,c8
all_classes\img_100541.jpg,c0
all_classes\img_100543.jpg,c2
all_classes\img_100544.jpg,c7
all_classes\img_100546.jpg,c7
all_classes\img_100547.jpg,c0
all_classes\img_100549.jpg,c0
all_classes\img_10055.jpg,c2
all_classes\img_100550.jpg,c4
all_classes\img_100551.jpg,c0
all_classes\img_100552.jpg,c0
all_classes\img_100553.jpg,c5
all_classes\img_100554.jpg,c1
all_classes\img_100555.jpg,c2
all_classes\img_100557.jpg,c0
all_classes\img_100558.jpg,c5
all_classes\img_100559.jpg,c4
all_classes\img_10056.jpg,c3
all_classes\img_100560.jpg,c4
all_classes\img_100562.jpg,c7
all_classes\img_100563.jpg,c8
all_classes\img_100564.jpg,c9
all_classes\img_100566.jpg,c1
all_classes\img_100567.jpg,c5
all_classes\img_100569.jpg,c1
all_classes\img_10057.jpg,c1
all_classes\img_100570.jpg,c8
all_classes\img_100571.jpg,c5
all_classes\img_100572.jpg,c6
all_classes\img_100573.jpg,c8
all_classes\img_100574.jpg,c4
all_classes\img_100575.jpg,c2
all_classes\img_100576.jpg,c7
all_classes\img_100577.jpg,c2
all_classes\img_100578.jpg,c6
all_classes\img_10058.jpg,c1
all_classes\img_100580.jpg,c6
all_classes\img_100581.jpg,c7
all_classes\img_100582.jpg,c0
all_classes\img_100583.jpg,c7
all_classes\img_100584.jpg,c4
all_classes\img_100585.jpg,c3
all_classes\img_100586.jpg,c4
all_classes\img_100587.jpg,c4
all_classes\img_100588.jpg,c2
all_classes\img_10059.jpg,c3
all_classes\img_100590.jpg,c4
all_classes\img_100591.jpg,c8
all_classes\img_100592.jpg,c9
all_classes\img_100593.jpg,c5
all_classes\img_100595.jpg,c1
all_classes\img_100596.jpg,c3
all_classes\img_100597.jpg,c5
all_classes\img_100599.jpg,c2
all_classes\img_1006.jpg,c3
all_classes\img_10060.jpg,c1
all_classes\img_100600.jpg,c2
all_classes\img_100601.jpg,c4
all_classes\img_100602.jpg,c4
all_classes\img_100603.jpg,c2
all_classes\img_100604.jpg,c0
all_classes\img_100606.jpg,c1
all_classes\img_100607.jpg,c0
all_classes\img_100608.jpg,c9
all_classes\img_100609.jpg,c3
all_classes\img_10061.jpg,c2
all_classes\img_100610.jpg,c2
all_classes\img_100612.jpg,c3
all_classes\img_100613.jpg,c3
all_classes\img_100614.jpg,c4
all_classes\img_100615.jpg,c3
all_classes\img_100616.jpg,c9
all_classes\img_100617.jpg,c2
all_classes\img_100618.jpg,c4
all_classes\img_100619.jpg,c8
all_classes\img_100620.jpg,c6
all_classes\img_100621.jpg,c2
all_classes\img_100622.jpg,c5
all_classes\img_100623.jpg,c1
all_classes\img_100624.jpg,c9
all_classes\img_100625.jpg,c8
all_classes\img_100626.jpg,c8
all_classes\img_100628.jpg,c4
all_classes\img_100629.jpg,c1
all_classes\img_10063.jpg,c5
all_classes\img_100630.jpg,c1
all_classes\img_100631.jpg,c7
all_classes\img_100632.jpg,c4
all_classes\img_100633.jpg,c7
all_classes\img_100635.jpg,c0
all_classes\img_100637.jpg,c0
all_classes\img_100639.jpg,c1
all_classes\img_10064.jpg,c0
all_classes\img_100641.jpg,c4
all_classes\img_100642.jpg,c1
all_classes\img_100644.jpg,c0
all_classes\img_100645.jpg,c5
all_classes\img_100647.jpg,c8
all_classes\img_100648.jpg,c6
all_classes\img_100649.jpg,c4
all_classes\img_10065.jpg,c6
all_classes\img_100650.jpg,c6
all_classes\img_100651.jpg,c1
all_classes\img_100652.jpg,c5
all_classes\img_100653.jpg,c7
all_classes\img_100654.jpg,c6
all_classes\img_100655.jpg,c4
all_classes\img_100657.jpg,c7
all_classes\img_100658.jpg,c7
all_classes\img_100659.jpg,c8
all_classes\img_10066.jpg,c6
all_classes\img_100660.jpg,c6
all_classes\img_100661.jpg,c4
all_classes\img_100662.jpg,c5
all_classes\img_100663.jpg,c8
all_classes\img_100666.jpg,c4
all_classes\img_100667.jpg,c1
all_classes\img_100668.jpg,c3
all_classes\img_100669.jpg,c8
all_classes\img_10067.jpg,c5
all_classes\img_100670.jpg,c0
all_classes\img_100671.jpg,c5
all_classes\img_100672.jpg,c5
all_classes\img_100673.jpg,c3
all_classes\img_100674.jpg,c0
all_classes\img_100675.jpg,c6
all_classes\img_100677.jpg,c4
all_classes\img_100678.jpg,c6
all_classes\img_100679.jpg,c7
all_classes\img_100680.jpg,c0
all_classes\img_100681.jpg,c7
all_classes\img_100684.jpg,c8
all_classes\img_100685.jpg,c1
all_classes\img_100686.jpg,c5
all_classes\img_100687.jpg,c6
all_classes\img_10069.jpg,c5
all_classes\img_100692.jpg,c0
all_classes\img_100694.jpg,c6
all_classes\img_100696.jpg,c4
all_classes\img_100698.jpg,c9
all_classes\img_100699.jpg,c5
all_classes\img_1007.jpg,c5
all_classes\img_10070.jpg,c4
all_classes\img_100700.jpg,c1
all_classes\img_100703.jpg,c2
all_classes\img_100704.jpg,c8
all_classes\img_100705.jpg,c0
all_classes\img_100707.jpg,c5
all_classes\img_100708.jpg,c0
all_classes\img_100709.jpg,c6
all_classes\img_10071.jpg,c1
all_classes\img_100710.jpg,c8
all_classes\img_100711.jpg,c1
all_classes\img_100712.jpg,c6
all_classes\img_100713.jpg,c0
all_classes\img_100714.jpg,c6
all_classes\img_100716.jpg,c8
all_classes\img_100717.jpg,c4
all_classes\img_100718.jpg,c5
all_classes\img_100719.jpg,c4
all_classes\img_10072.jpg,c3
all_classes\img_100720.jpg,c8
all_classes\img_100721.jpg,c3
all_classes\img_100722.jpg,c3
all_classes\img_100723.jpg,c4
all_classes\img_100724.jpg,c2
all_classes\img_100725.jpg,c6
all_classes\img_100726.jpg,c3
all_classes\img_100727.jpg,c1
all_classes\img_100728.jpg,c2
all_classes\img_10073.jpg,c3
all_classes\img_100730.jpg,c0
all_classes\img_100731.jpg,c8
all_classes\img_100732.jpg,c4
all_classes\img_100733.jpg,c0
all_classes\img_100734.jpg,c5
all_classes\img_100736.jpg,c0
all_classes\img_100737.jpg,c0
all_classes\img_100739.jpg,c8
all_classes\img_10074.jpg,c8
all_classes\img_100740.jpg,c4
all_classes\img_100741.jpg,c3
all_classes\img_100742.jpg,c3
all_classes\img_100744.jpg,c3
all_classes\img_100745.jpg,c3
all_classes\img_100746.jpg,c4
all_classes\img_100747.jpg,c5
all_classes\img_100748.jpg,c8
all_classes\img_10075.jpg,c2
all_classes\img_100750.jpg,c1
all_classes\img_100751.jpg,c3
all_classes\img_100752.jpg,c3
all_classes\img_100753.jpg,c8
all_classes\img_100755.jpg,c3
all_classes\img_100756.jpg,c4
all_classes\img_100757.jpg,c9
all_classes\img_100758.jpg,c0
all_classes\img_100759.jpg,c1
all_classes\img_10076.jpg,c0
all_classes\img_100760.jpg,c5
all_classes\img_100761.jpg,c0
all_classes\img_100763.jpg,c5
all_classes\img_100764.jpg,c7
all_classes\img_100765.jpg,c1
all_classes\img_100766.jpg,c3
all_classes\img_100767.jpg,c3
all_classes\img_100768.jpg,c2
all_classes\img_100769.jpg,c2
all_classes\img_10077.jpg,c0
all_classes\img_100770.jpg,c4
all_classes\img_100771.jpg,c5
all_classes\img_100772.jpg,c0
all_classes\img_100773.jpg,c4
all_classes\img_100774.jpg,c8
all_classes\img_100775.jpg,c8
all_classes\img_100779.jpg,c5
all_classes\img_100780.jpg,c8
all_classes\img_100781.jpg,c3
all_classes\img_100782.jpg,c2
all_classes\img_100785.jpg,c7
all_classes\img_100786.jpg,c0
all_classes\img_100788.jpg,c2
all_classes\img_100789.jpg,c3
all_classes\img_10079.jpg,c6
all_classes\img_100790.jpg,c2
all_classes\img_100792.jpg,c3
all_classes\img_100793.jpg,c1
all_classes\img_100794.jpg,c6
all_classes\img_100795.jpg,c0
all_classes\img_100798.jpg,c6
all_classes\img_100799.jpg,c8
all_classes\img_1008.jpg,c8
all_classes\img_100800.jpg,c5
all_classes\img_100801.jpg,c5
all_classes\img_100802.jpg,c9
all_classes\img_100803.jpg,c6
all_classes\img_100804.jpg,c3
all_classes\img_100805.jpg,c3
all_classes\img_100806.jpg,c4
all_classes\img_100807.jpg,c8
all_classes\img_100809.jpg,c8
all_classes\img_10081.jpg,c6
all_classes\img_100810.jpg,c9
all_classes\img_100812.jpg,c4
all_classes\img_100815.jpg,c1
all_classes\img_100817.jpg,c6
all_classes\img_100819.jpg,c0
all_classes\img_10082.jpg,c5
all_classes\img_100820.jpg,c0
all_classes\img_100822.jpg,c0
all_classes\img_100826.jpg,c4
all_classes\img_100827.jpg,c0
all_classes\img_100829.jpg,c3
all_classes\img_10083.jpg,c4
all_classes\img_100831.jpg,c0
all_classes\img_100832.jpg,c3
all_classes\img_100833.jpg,c6
all_classes\img_100834.jpg,c7
all_classes\img_100835.jpg,c7
all_classes\img_100836.jpg,c0
all_classes\img_100839.jpg,c9
all_classes\img_10084.jpg,c7
all_classes\img_100840.jpg,c1
all_classes\img_100841.jpg,c5
all_classes\img_100842.jpg,c3
all_classes\img_100843.jpg,c5
all_classes\img_100844.jpg,c2
all_classes\img_100845.jpg,c1
all_classes\img_100847.jpg,c2
all_classes\img_100848.jpg,c6
all_classes\img_100849.jpg,c4
all_classes\img_10085.jpg,c4
all_classes\img_100851.jpg,c5
all_classes\img_100852.jpg,c0
all_classes\img_100853.jpg,c3
all_classes\img_100854.jpg,c6
all_classes\img_100855.jpg,c0
all_classes\img_100856.jpg,c5
all_classes\img_100857.jpg,c3
all_classes\img_100858.jpg,c2
all_classes\img_100859.jpg,c5
all_classes\img_10086.jpg,c0
all_classes\img_100860.jpg,c5
all_classes\img_100861.jpg,c6
all_classes\img_100862.jpg,c3
all_classes\img_100863.jpg,c5
all_classes\img_100864.jpg,c2
all_classes\img_100865.jpg,c7
all_classes\img_100866.jpg,c7
all_classes\img_100867.jpg,c3
all_classes\img_100868.jpg,c3
all_classes\img_100869.jpg,c0
all_classes\img_10087.jpg,c7
all_classes\img_100873.jpg,c6
all_classes\img_100874.jpg,c6
all_classes\img_100875.jpg,c6
all_classes\img_100876.jpg,c8
all_classes\img_100877.jpg,c6
all_classes\img_100878.jpg,c4
all_classes\img_100879.jpg,c1
all_classes\img_10088.jpg,c0
all_classes\img_100880.jpg,c4
all_classes\img_100881.jpg,c9
all_classes\img_100883.jpg,c8
all_classes\img_100884.jpg,c7
all_classes\img_100885.jpg,c1
all_classes\img_100886.jpg,c8
all_classes\img_100887.jpg,c0
all_classes\img_100888.jpg,c7
all_classes\img_100889.jpg,c0
all_classes\img_10089.jpg,c1
all_classes\img_100890.jpg,c0
all_classes\img_100891.jpg,c6
all_classes\img_100892.jpg,c4
all_classes\img_100893.jpg,c7
all_classes\img_100894.jpg,c0
all_classes\img_100895.jpg,c5
all_classes\img_100896.jpg,c0
all_classes\img_100898.jpg,c0
all_classes\img_100899.jpg,c7
all_classes\img_1009.jpg,c3
all_classes\img_100900.jpg,c2
all_classes\img_100901.jpg,c2
all_classes\img_100902.jpg,c2
all_classes\img_100903.jpg,c4
all_classes\img_100904.jpg,c7
all_classes\img_100906.jpg,c4
all_classes\img_100907.jpg,c4
all_classes\img_100908.jpg,c5
all_classes\img_100909.jpg,c5
all_classes\img_10091.jpg,c6
all_classes\img_100910.jpg,c1
all_classes\img_100911.jpg,c2
all_classes\img_100914.jpg,c4
all_classes\img_100916.jpg,c1
all_classes\img_100917.jpg,c1
all_classes\img_100918.jpg,c4
all_classes\img_100919.jpg,c8
all_classes\img_100920.jpg,c6
all_classes\img_100921.jpg,c3
all_classes\img_100923.jpg,c6
all_classes\img_100924.jpg,c8
all_classes\img_100925.jpg,c4
all_classes\img_100926.jpg,c1
all_classes\img_100928.jpg,c1
all_classes\img_100929.jpg,c3
all_classes\img_100930.jpg,c7
all_classes\img_100931.jpg,c5
all_classes\img_100933.jpg,c6
all_classes\img_100934.jpg,c3
all_classes\img_100935.jpg,c0
all_classes\img_100936.jpg,c5
all_classes\img_100937.jpg,c0
